Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
Remnants of a rocket launched by an alleged Russian airforce which targeted a civilian house,ALEPPO,Al atarib,NA,NA,AL_ef155,Unlawful attacks,2016-11-18,10.0,31.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=fVLFEEImIAo,OFAB 250-270,NA,ef15523979e39f7df50e55d0f0cdda7bf814de051ac1a02e2f46a9d4,https://media.syrianarchive.org/files/spoon/sV_20161118_fVLFEEImIAo.mp4,37278
Injured as a result of a chlorine attack that targeted Masaken Hanano district in Aleppo,ALEPPO,Masaken Hanano,NA,NA,CW_8a89e,Use of illegal weapons,2016-11-18,10.0,29.0,Orient News,https://www.youtube.com/watch?v=HjCvPYlxQuw,Chlorine Gas,NA,8a89ed640951d0ad7959b515b4befb4045282f84f2acf5eb25c1fba7,https://media.syrianarchive.org/files/spoon/sV_20161118_HjCvPYlxQuw.mp4,37423
Destruction in Al Sha'ar district as a result of a vacuum bomb,ALEPPO,Alshaar,NA,NA,AL_33ca4,Other,2016-11-18,10.0,21.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=Zn9dWOMGhvQ,NA,NA,33ca4316bdeaec163a95066ab81124d3db601365c7de0406387955bf,https://media.syrianarchive.org/files/spoon/sV_20161118_Zn9dWOMGhvQ.mp4,37272
Destruction in Al Sha'ar district as a result of a barrel bomb attack,ALEPPO,Alshaar,NA,NA,AL_c90aa,Other,2016-11-18,8.0,33.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=X9mMgns1eII,NA,NA,c90aa6357a6e486db459f25d88dfbe8db9c51c43a426b21c1ba45d62,https://media.syrianarchive.org/files/spoon/sV_20161118_X9mMgns1eII.mp4,37273
Destruction in a civilian house as a result of an airstrike,ALEPPO,NA,NA,NA,AL_6769e,Other,2016-11-17,20.0,42.0,Qasioun News Agency,https://www.youtube.com/watch?v=SSrD075v_hE,NA,NA,6769eee55f5c2ccf2f1113aa8536fb6624b4cea53114a49603824884,https://media.syrianarchive.org/files/spoon/sV_20161117_SSrD075v_hE.mp4,37155
Destruction as a result of airstrikes that targeted the old city of Aleppo,ALEPPO,NA,NA,NA,AL_ae2d8,Other,2016-11-17,20.0,38.0,Qasioun News Agency,https://www.youtube.com/watch?v=NPHwrhXCjHI,NA,NA,ae2d8f3185484628c8f271adadcbdbc47dae76570e85b102f724ec21,https://media.syrianarchive.org/files/spoon/sV_20161117_NPHwrhXCjHI.mp4,37167
Destruction as a result of airstrikes that targeted the old city of Aleppo,ALEPPO,NA,NA,NA,AL_a3e18,Other,2016-11-17,20.0,37.0,Qasioun News Agency,https://www.youtube.com/watch?v=rPyzpg8qSog,NA,NA,a3e183d7fafca3b256a6a790e33b5c8e453a5ffe07fa498b477b872b,https://media.syrianarchive.org/files/spoon/sV_20161117_rPyzpg8qSog.mp4,37151
Targeting Aleppo city with 9MT9 missile,ALEPPO,NA,NA,NA,AL_924cf,Other,2016-11-17,19.0,27.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=XKU1R-Mvy8o,9M79M Tochka,NA,924cf6ce29cc188b577d1c0fbd94e6563759926caf01a4386bb1b1d4,https://media.syrianarchive.org/files/spoon/sV_20161117_XKU1R-Mvy8o.mp4,37199
24 casualties as a result of alleged Russian airstrike that targeted Aleppo countryside,ALEPPO,Batbo,NA,NA,AL_fbb44,Other,2016-11-17,19.0,1.0,Halab Today TV | قناة حلب اليوم,https://www.youtube.com/watch?v=_cO2qSOYE4k,NA,NA,fbb442da878b69892cd49a523d06b30c4bfa026c0516bfeb497f8476,https://media.syrianarchive.org/files/spoon/sV_20161117__cO2qSOYE4k.mp4,37180
Destruction as a result of airstrikes that targeted Aleppo countryside,ALEPPO,Urum al-Kubra,NA,NA,AL_c925b,Other,2016-11-17,18.0,36.0,baladi- news,https://www.youtube.com/watch?v=doRMWknd_pc,NA,NA,c925b3d7868f101e63f55656d51ffe4d19576660261102337c31b707,https://media.syrianarchive.org/files/spoon/sV_20161117_doRMWknd_pc.mp4,37100
Alleged Russian airstrikes that targeted Aleppo countryside,ALEPPO,Rif al Mohandeseen,NA,NA,AL_f2d69,Other,2016-11-17,18.0,21.0,baladi- news,https://www.youtube.com/watch?v=dr1O2P1VrBc,NA,NA,f2d69c3624feac7e824defe7070cf561345e104e735dd070f30c2c5e,https://media.syrianarchive.org/files/spoon/sV_20161117_dr1O2P1VrBc.mp4,37095
Destruction in Hamza mosque as a result of airstrikes,ALEPPO,Anadan,NA,NA,AL_69a62,Other,2016-11-17,17.0,27.0,مركز عندان الإعلامي,https://www.youtube.com/watch?v=zl-btGc1SLQ,NA,NA,69a627bbf04236dabfb304fc3aabf54ea93fbdfb12a46bb7d81ca880,https://media.syrianarchive.org/files/spoon/sV_20161117_zl-btGc1SLQ.mp4,37016
One child casualty as a result of alleged Russian airstrike,ALEPPO,Maret Artiq,NA,NA,AL_49962,Unlawful attacks,2016-11-17,17.0,11.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=L-MaiLOXltM,NA,NA,499623eff7f243c8fed111a766163184863787397c6ec57e2925fbda,https://media.syrianarchive.org/files/spoon/sV_20161117_L-MaiLOXltM.mp4,37041
The first moment of an airstrike that targeted Aleppo countryside,ALEPPO,Urum al-Kubra,NA,NA,AL_bfc97,Other,2016-11-17,16.0,7.0,وكالة ثقة,https://www.youtube.com/watch?v=iGqmi4WvdIY,NA,NA,bfc976ab40314106569dd7484c1ebec4acf4c7a767b1ffda3362421c,https://media.syrianarchive.org/files/spoon/sV_20161117_iGqmi4WvdIY.mp4,37058
Remnants of the rocket with parachute that targeted a civilian area in Aleppo,ALEPPO,NA,NA,NA,AL_3aadd,Other,2016-11-17,15.0,40.0,Step News Agency,https://www.youtube.com/watch?v=qJvnPKmCGLg,NA,NA,3aaddc3b7ec93ef710ed06e6be6e1fb0ce1e62ebf1faf39e76f0aa8d,https://media.syrianarchive.org/files/spoon/sV_20161117_qJvnPKmCGLg.mp4,37114
Alleged Russian airstrikes that targeted Hretan,ALEPPO,Harithan,NA,NA,AL_5c72e,Other,2016-11-17,15.0,27.0,Qasioun News Agency,https://www.youtube.com/watch?v=KegEOCnQKKc,NA,NA,5c72e0c0a864357728658159272a244eb45cc94049f11135285d04b8,https://media.syrianarchive.org/files/spoon/sV_20161117_KegEOCnQKKc.mp4,37158
Airstrikes that targeted Anadan,ALEPPO,Anadan,NA,NA,AL_9b634,Other,2016-11-17,15.0,27.0,Qasioun News Agency,https://www.youtube.com/watch?v=MlQFVY5B2oY,NA,NA,9b6344d2cb64c47bbc35b4841f13cba1104c2c18bbf14f25c6a255e4,https://media.syrianarchive.org/files/spoon/sV_20161117_MlQFVY5B2oY.mp4,37172
Destruction in Al Fardous as a result of airstrikes,ALEPPO,Al-Fardos,NA,NA,AL_9d8bb,Other,2016-11-17,15.0,27.0,Buraq.Media .Foundation,https://www.youtube.com/watch?v=Uq3-dmuKty8,NA,NA,9d8bb7981935841c911c9c62a478468e27e2ca7e4cc474108ea74d5f,https://media.syrianarchive.org/files/spoon/sV_20161117_Uq3-dmuKty8.mp4,37037
Smoke as a result of alleged Russian airstrike,ALEPPO,Babis,NA,NA,AL_b3bd2,Other,2016-11-17,15.0,26.0,Qasioun News Agency,https://www.youtube.com/watch?v=3vgX6T-k9xM,NA,NA,b3bd2b8a94369b4e0778062e6c9becf9810c638b1142341352ed2d59,https://media.syrianarchive.org/files/spoon/sV_20161117_3vgX6T-k9xM.mp4,37159
Destruction as a result of barrel bombs attacks,ALEPPO,Bustan al-Basha,NA,NA,AL_646e9,Other,2016-11-17,15.0,26.0,وكالة ثقة,https://www.youtube.com/watch?v=1oMkNM-OIWg,NA,NA,646e9dc91ea3e8835fe836828a1b27a847baad78291597ef441ba0e2,https://media.syrianarchive.org/files/spoon/sV_20161117_1oMkNM-OIWg.mp4,37059
The civil defense team rescuing 6 years old child who was under rubbels,ALEPPO,Ma'adi,NA,NA,AL_bb0a0,Unlawful attacks,2016-11-17,15.0,24.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=gG8CJkIZe9w,NA,NA,bb0a0c4580a768a0382e0e3c6a32a58491027ffa1038aaf4f74d5d97,https://media.syrianarchive.org/files/spoon/sV_20161117_gG8CJkIZe9w.mp4,37040
Alleged Russian airstrike that targeted Aleppo countryside,ALEPPO,Mansoura,NA,NA,AL_73c85,Other,2016-11-17,15.0,23.0,Qasioun News Agency,https://www.youtube.com/watch?v=tsY3cofLv3M,NA,NA,73c85ef2bf3b9e3f2f879f7d5391eaa01c8ce471c8eead7b484ec8cc,https://media.syrianarchive.org/files/spoon/sV_20161117_tsY3cofLv3M.mp4,37169
13 casualties and others got injured from FSA as a result of a car bomb in Azaz,ALEPPO,Azaz,NA,NA,AL_dc6ca,Unlawful attacks,2016-11-17,15.0,9.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=-QttMqsSxjk,NA,NA,dc6ca1e552693841fbf1c85743e3b8d8e22084abfb8f823cb2fa131f,https://media.syrianarchive.org/files/spoon/sV_20161117_-QttMqsSxjk.mp4,37129
Destruction in Al Fardous district as a result of attacks with missiles that has parachutes,ALEPPO,Al-Fardos,NA,NA,AL_e768f,Other,2016-11-17,14.0,48.0,وكالة ثقة,https://www.youtube.com/watch?v=xEMe0yKYEsc,NA,NA,e768f1b87c9dbafad17998f38d19109aa0aa8096bdc049d0d9b2e5c8,https://media.syrianarchive.org/files/spoon/sV_20161117_xEMe0yKYEsc.mp4,37057
Missile with parachute that didn't explode in Aleppo city,ALEPPO,Al-Fardos,NA,NA,AL_b351c,Unlawful attacks,2016-11-17,14.0,40.0,Buraq.Media .Foundation,https://www.youtube.com/watch?v=F4APTEsLv7w,FAB-500 SHN,NA,b351cb35a62650a32d712b11375cf90a424461950063205e9a30e597,https://media.syrianarchive.org/files/spoon/sV_20161117_F4APTEsLv7w.mp4,37036
Casualties and injured as a result of airstrikes that targeted Aleppo city,ALEPPO,Ma'adi,NA,NA,AL_9a9b1,Other,2016-11-17,14.0,40.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=0dh-bTbY3dc,NA,NA,9a9b135cdb29cdd2ed0d95ec4686fbd862be7077ef401b06c0733c1c,https://media.syrianarchive.org/files/spoon/sV_20161117_0dh-bTbY3dc.mp4,37044
Destruction as a result of a surface to surface missile that targeted Hayyan,ALEPPO,Hayyan,NA,NA,AL_3b0c3,Other,2016-11-17,14.0,23.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=lg_hsIM5R2o,NA,NA,3b0c3aca59baded93bfa8b2576a9c86ea12f1e509091fe427fa354e0,https://media.syrianarchive.orgfiles/spoon/sV_20161117_lg_hsIM5R2o.mp4,37043
Casualties and injured as a result of airstrikes that targeted Al Fardous district,ALEPPO,Al-Fardos,NA,NA,AL_df1b8,Unlawful attacks,2016-11-17,14.0,13.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=xwdD34XGA-Y,NA,NA,df1b8a0862f07fbab35024a456d960b212f28d976dc2c364d1a825c7,https://media.syrianarchive.org/files/spoon/sV_20161117_xwdD34XGA-Y.mp4,37042
Destruction as a result of a barrel bomb that targeted Bustan Al Basha district,ALEPPO,Bustan al-Basha,NA,NA,AL_458d6,Other,2016-11-17,14.0,7.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=XJDHna82qi4,NA,NA,458d614bb6a337a6526c76f55cdac647e72e404fb0733f9dfc5aabf3,https://media.syrianarchive.org/files/spoon/sV_20161117_XJDHna82qi4.mp4,37045
Airstrike that targeted Al Salheen district in Aleppo city,ALEPPO,Salaheen,NA,NA,AL_e7e90,Other,2016-11-17,13.0,44.0,Step News Agency,https://www.youtube.com/watch?v=cFPcbOWhaaE,NA,NA,e7e90f5ed42d6449f4f0dacbe1647ae23981583dde546257501df5ee,https://media.syrianarchive.org/files/spoon/sV_20161117_cFPcbOWhaaE.mp4,37116
Destruction in Al Fardous district as a result of alleged Russian airstrike,ALEPPO,Al-Fardos,NA,NA,AL_119f5,Unlawful attacks,2016-11-17,13.0,15.0,Step News Agency,https://www.youtube.com/watch?v=l4N3rLcOEm0,NA,NA,119f5399d82c5323d6d0cc2a2562c191c525f2dae52b3ba265a3d28a,https://media.syrianarchive.org/files/spoon/sV_20161117_l4N3rLcOEm0.mp4,37118
Family got injured as a result of alleged Russian airstrike,ALEPPO,Qabtan al Jabal,NA,NA,AL_89cef,Unlawful attacks,2016-11-17,13.0,12.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=xCEXnTR_96A,NA,NA,89cef5c1d1b181f2c3726e60dc8422063a4d07fee4570d47d630c4c9,https://media.syrianarchive.org/files/spoon/sV_20161117_xCEXnTR_96A.mp4,37136
Destruction as a result of a car bomb in Azaz,ALEPPO,Azaz,NA,NA,AL_7602f,Other,2016-11-17,12.0,58.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=iYboIDDnur4,NA,NA,7602f34dafdbbe63c02d0348f89b5b2a1d9be6b63e4ce1ff66d69c15,https://media.syrianarchive.org/files/spoon/sV_20161117_iYboIDDnur4.mp4,37195
The civil defense team is searching for casualties as a result of airstrikes,ALEPPO,Sukkari,NA,NA,AL_4b434,Other,2016-11-17,12.0,32.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=xpNRALxCF5U,NA,NA,4b434b776e25ebad4f89233d713d6eb78fd7366701d22ddab4a1b0dc,https://media.syrianarchive.org/files/spoon/sV_20161117_xpNRALxCF5U.mp4,37138
Destruction as a result of a car bomb in Azaz,ALEPPO,Azaz,NA,NA,AL_015b4,Other,2016-11-17,12.0,26.0,الحركة الشعبية السورية,https://www.youtube.com/watch?v=5d9UsReINTY,NA,NA,015b488abe2a454e5077ee14d08c6fa5ebcf7a3572ae669798d68f60,https://media.syrianarchive.org/files/spoon/sV_20161117_5d9UsReINTY.mp4,41209
Alleged Russian airstrike that targeted Aleppo countryside,ALEPPO,Tal Al Daman,NA,NA,AL_422a7,Unlawful attacks,2016-11-17,12.0,20.0,Step News Agency,https://www.youtube.com/watch?v=kVxiW8XAJSU,NA,NA,422a7854acac4b39c7cc4c4706f0f1958ef88219e398d389218ade4a,https://media.syrianarchive.org/files/spoon/sV_20161117_kVxiW8XAJSU.mp4,37113
Alleged Russian airstrike that targeted Aleppo city,ALEPPO,Ansari,NA,NA,AL_51cc3,Other,2016-11-17,11.0,47.0,baladi- news,https://www.youtube.com/watch?v=stP07QXWbsA,NA,NA,51cc34f9ac40895c2521c114322c6c86327fd9141f18bd671e085507,https://media.syrianarchive.org/files/spoon/sV_20161117_stP07QXWbsA.mp4,37104
Destruction as a result of a car bomb in Azaz,ALEPPO,Azaz,NA,NA,AL_ec442,Other,2016-11-17,11.0,36.0,مكتب اعزاز الإعلامي,https://www.youtube.com/watch?v=gWkIGpXt-2s,NA,NA,ec4420ef97cd3c5ef3f2378cbc2db8135bccbc7cb536858cf2fae831,https://media.syrianarchive.org/files/spoon/sV_20161117_gWkIGpXt-2s.mp4,37019
Destruction in civilian houses as a result of airstrikes,ALEPPO,Qabtan al Jabal,NA,NA,AL_156ce,Other,2016-11-17,11.0,17.0,Hayan Media Office,https://www.youtube.com/watch?v=T1F-ZUZT5YA,NA,NA,156cecc0b98a0fe41436e409480fe5ae3a720b71fe7fd5920d401e91,https://media.syrianarchive.org/files/spoon/sV_20161117_T1F-ZUZT5YA.mp4,37024
Casualties and injured as a result of alleged Russian airstrike,ALEPPO,Maret Artiq,NA,NA,AL_461ad,Unlawful attacks,2016-11-17,11.0,4.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=4hBfQ_HZs8c,NA,NA,461ad4c095fe8113cdcce39980d5076be8a662277123018bfcfa0ea2,https://media.syrianarchive.org/files/spoon/sV_20161117_4hBfQ_HZs8c.mp4,37130
Casualties as a result of alleged Russian attacks in Aleppo city,ALEPPO,Ansari,NA,NA,AL_3d686,Other,2016-11-17,9.0,51.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=Sr_w53t5a3g,NA,NA,3d6863499c68b3e33364a21e3bf79367fe21b3b276790ebcc260c81f,https://media.syrianarchive.org/files/spoon/sV_20161117_Sr_w53t5a3g.mp4,37144
Casualties as a result of airstrikes that targeted Batbo village,ALEPPO,Batbo,NA,NA,AL_43c9b,Unlawful attacks,2016-11-17,9.0,29.0,baladi- news,https://www.youtube.com/watch?v=SrLBFJOH5TE,NA,NA,43c9b6a9e897e8014c3e0bae431a101710603aa19b45728f8c1b5d42,https://media.syrianarchive.org/files/spoon/sV_20161117_SrLBFJOH5TE.mp4,37103
Interview about an airstrike that targeted Al Saleheen district in Aleppo city,ALEPPO,Salaheen,NA,NA,AL_8a3d3,Other,2016-11-17,9.0,24.0,Step News Agency,https://www.youtube.com/watch?v=qOC6R0yhe9I,NA,NA,8a3d3bc271cd7b05c34bb162cf9c861145ee0d249f4a7b719d14dbc2,https://media.syrianarchive.org/files/spoon/sV_20161117_qOC6R0yhe9I.mp4,37106
Injured being rescued by the civil defence team,ALEPPO,Al-Fardos,NA,NA,AL_7fed5,Unlawful attacks,2016-11-17,8.0,40.0,Step News Agency,https://www.youtube.com/watch?v=TMovZKt4m5w,NA,NA,7fed5ddf25c49bab4cbd5f81b07037174dac54f192104deeafe90b10,https://media.syrianarchive.org/files/spoon/sV_20161117_TMovZKt4m5w.mp4,37105
Casualties and injured as a result of attacks that targeted Aleppo city,ALEPPO,Zabadiyah,NA,NA,AL_e9df1,Unlawful attacks,2016-11-17,8.0,27.0,Step News Agency,https://www.youtube.com/watch?v=KIgiNhMJuoM,NA,NA,e9df1a0622cc0adc41ee0310ae448bec5a961c0550ab1d580bcf86cc,https://media.syrianarchive.org/files/spoon/sV_20161117_KIgiNhMJuoM.mp4,37107
The civil defence rescuing injured as a result of alleged Russian airstrikes,ALEPPO,Ansari,NA,NA,AL_a792a,Unlawful attacks,2016-11-17,8.0,21.0,Step News Agency,https://www.youtube.com/watch?v=dHEsw191b6s,NA,NA,a792a088cb0397a6f4ed7e92316e9e1bdcb889b453b1e4101c70b26b,https://media.syrianarchive.org/files/spoon/sV_20161117_dHEsw191b6s.mp4,37111
Destruction in Batbo village as a result of alleged Russian airstrikes,ALEPPO,Batbo,NA,NA,AL_6ad28,Other,2016-11-16,22.0,56.0,وكالة شهبا برس Shahba Press Agency,https://www.youtube.com/watch?v=HYpwHDmtMYk,NA,NA,6ad28f48e024ae6b43a7e2356cedbe6963fec58592a0e6b90034f3c8,https://media.syrianarchive.org/files/spoon/sV_20161116_HYpwHDmtMYk.mp4,36828
Alleged Russian airstrikes that targeted Aleppo countryside,ALEPPO,Batbo,NA,NA,AL_cb301,Other,2016-11-16,21.0,28.0,Step News Agency,https://www.youtube.com/watch?v=n_YbDdKnEXQ,NA,NA,cb301d9bd086b3ec1534b76c8f68ba5e2e4b791a57c50fa7be7ad82b,https://media.syrianarchive.org/files/spoon/sV_20161116_n_YbDdKnEXQ.mp4,36896
Destruction in Al Sharar district as a result of airstrikes,ALEPPO,Alshaar,NA,NA,AL_c6ef3,Other,2016-11-16,20.0,33.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=HkivJUX1UyI,NA,NA,c6ef30419b17907565225de2c507f872ea6eaedc8cb66fb4c5eae869,https://media.syrianarchive.org/files/spoon/sV_20161116_HkivJUX1UyI.mp4,36875
Casualties including children in Aleppo country side,ALEPPO,Batbo,NA,NA,AL_23a30,Unlawful attacks,2016-11-16,18.0,43.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=EhydQSkdjsY,NA,NA,23a30efe7d2c4257b7febc7aeb0303c5c4b77ee05aea80a8ea26d26b,https://media.syrianarchive.org/files/spoon/sV_20161116_EhydQSkdjsY.mp4,36855
Casualties as a result of alleged Russian airstrikes,ALEPPO,Batbo,NA,NA,AL_fbe90,Unlawful attacks,2016-11-16,18.0,9.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=OImVQTu5_rY,NA,NA,fbe90ba0ad51b87cf7e39a05a864b7e9b26a26f46fece3bc81fb6f20,https://media.syrianarchive.org/files/spoon/sV_20161116_OImVQTu5_rY.mp4,36913
Casualties and injured as a result of airstrikes that targeted civilian areas,ALEPPO,Batbo,NA,NA,AL_1408d,Other,2016-11-16,17.0,39.0,معاذ الشامي,https://www.youtube.com/watch?v=XbYRbRnDdJI,NA,NA,1408d53cf3a6516a457474c3da9caf53fd03ff341381755e380a326d,https://media.syrianarchive.org/files/spoon/sV_20161116_XbYRbRnDdJI.mp4,36839
Medical forensics in Aleppo: Casualties [mainly children] in Al Sukkari district in Aleppo city,ALEPPO,Sukkari,NA,NA,AL_327f3,Other,2016-11-16,17.0,31.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=m3oIE1nPy1M,NA,NA,327f3e29d017b3d75280fe5346997c017d95c2dac50dee01a8a20011,https://media.syrianarchive.org/files/spoon/sV_20161116_m3oIE1nPy1M.mp4,36922
Casualties as a result of alleged Russian airstrikes,ALEPPO,NA,NA,NA,AL_b5e97,Unlawful attacks,2016-11-16,17.0,7.0,Step News Agency,https://www.youtube.com/watch?v=tS9UNA7JfnQ,NA,NA,b5e977b4b0229ef291a2cd7057bfaa9a9ca31cd5de74ea98fedbf363,https://media.syrianarchive.org/files/spoon/sV_20161116_tS9UNA7JfnQ.mp4,36894
Casualties as a result of airstrikes that targeted Aleppo countryside,ALEPPO,Batbo,NA,NA,AL_a9b9c,Other,2016-11-16,17.0,0.0,وكالة ثقة,https://www.youtube.com/watch?v=Z1OljykYevo,NA,NA,a9b9c654625be79b7b010c403a773be6acf41095927d1242979101d4,https://media.syrianarchive.org/files/spoon/sV_20161116_Z1OljykYevo.mp4,36868
Alleged Russian airstrike that targeted Aleppo city,ALEPPO,Mashhad,NA,NA,AL_8e32e,Other,2016-11-16,16.0,12.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=lX16f3MQR4Q,NA,NA,8e32efd568b969e00c116a2660d79912135496935c290de99f096f1d,https://media.syrianarchive.org/files/spoon/sV_20161116_lX16f3MQR4Q.mp4,36915
Casualties as a result of shelling and barrel bombs that targeted Al Sha'ar district in Aleppo,ALEPPO,Alshaar,NA,NA,AL_54b82,Other,2016-11-16,16.0,9.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=c1LTysWEjqs,NA,NA,54b8256f2be08f8990a314f4e38221d4bd7f970ece7a57684c154d35,https://media.syrianarchive.org/files/spoon/sV_20161116_c1LTysWEjqs.mp4,36920
Alleged Russian airstrikes that targeted Al ANsari with missiles that have parachutes,ALEPPO,Ansari,NA,NA,AL_67347,Other,2016-11-16,16.0,9.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=55_WprrvDOc,NA,NA,67347b92fe8fe9959a11e66e845a97e6af4b0dcb7b8dc13c2e361175,https://media.syrianarchive.org/files/spoon/sV_20161116_55_WprrvDOc.mp4,36921
Destruction as a result of airstrikes that targeted Al Sha'ar district in Aleppo city,ALEPPO,Alshaar,NA,NA,AL_72369,Unlawful attacks,2016-11-16,15.0,52.0,Buraq.Media .Foundation,https://www.youtube.com/watch?v=BHcsfcxxwaI,NA,NA,72369893665b4880244ed340f67f46da5e7ffe123cdd1d837caf9bd1,https://media.syrianarchive.org/files/spoon/sV_20161116_BHcsfcxxwaI.mp4,36847
Destruction as a result of alleged Russian airstrikes that targeted Aleppo countryside,ALEPPO,Batbo,NA,NA,AL_1c61a,Other,2016-11-16,15.0,49.0,وكالة ثقة,https://www.youtube.com/watch?v=CvyOazvHbJI,NA,NA,1c61ae36077262fe45ae1dcc199429a1aa9bd300ae35440ab2e77744,https://media.syrianarchive.org/files/spoon/sV_20161116_CvyOazvHbJI.mp4,36866
Destruction as a result of alleged Russian airstrikes that targeted Aleppo countryside,ALEPPO,Batbo,NA,NA,AL_d6e52,Other,2016-11-16,15.0,28.0,الدرر الشامية,https://www.youtube.com/watch?v=f-Io5sL_G9w,NA,NA,d6e52e38cd608e1cd48a88b2c75512bb8bf068f8e9eb720cd55d614c,https://media.syrianarchive.org/files/spoon/sV_20161116_f-Io5sL_G9w.mp4,36845
Destruction as a result of alleged Russian airstrikes that targeted Aleppo countryside,ALEPPO,Batbo,NA,NA,AL_747db,Other,2016-11-16,15.0,23.0,ShaamNetwork S.N.N,https://www.youtube.com/watch?v=TYZR_E-Bxp0,NA,NA,747dbed7c27a742ff7d534a6741b6c69d71febbdea715e108bab3612,https://media.syrianarchive.org/files/spoon/sV_20161116_TYZR_E-Bxp0.mp4,36873
